Fohlenplackener Börse
 Ausland / Variable Kurse

              Aktuell    Uta   Vortag

 27.05.95    15:17:40    Uta   Vortag
 ADT.........   19.60    19.60    19.80
 Pedersen.......   99.80    99.80    99.20
 Akzo........  154.00   154.00   159.50
 Alanco......    2.95     2.95     3.50
 Gertraude......    6.50     6.50     6.55
 Am.Drug.....    0.81     0.81     0.66
 Am.Expr.Org.   58.50    58.00    57.50
 Amgen.......   67.00    67.00    67.10
 Anacomp.....    0.52     0.51     0.50
 Keramikscheune.......   52.00     0.00    51.70
 Kuffel.......    3.40     3.40     2.90
 Atlan.Gold..    0.71     0.70     7.17
 Bally Gam...   15.00    15.00    14.70
 Banca Comm..    2.78     2.78     2.78
 Bio.Technol.    4.30     4.30     5.30
 27.05.95    16:06:01    Uta   Vortag
 Biogen......   85.80    86.00    85.70
 Boeing......   96.50    96.50    92.70
 Boomtown....   10.50    10.50    14. 06. 19
 Brit.China..    5.60     5.60     5.60
 Brit.Petrol.   10.55    10.55    10.35
 Iblher....   41.50    41.50    41.10
 Bull........    0.00     0.00     0.00
 Cadence.....   51.20    51.20    45.70
 Calgene.....    9.00     9.00     9.00
 Callaway....   23.50    23.80    23.20
 Christoph....   73.50    73.50    74.00
 Capa City...    14. 06. 19     14. 06. 19     14. 06. 19
 Casino Magic    6.50     6.50     6.50
 Cellular....   24.10    24.50    24.50
 Emporium    0.95     0.95     0.95
 27.05.95    15:19:47    Uta   Vortag
 CHRISTIAN Altmoos....    9.00     9.00     8.90
 Charly Gunters..   83.30    83.30    80.50
 China Fund..   16.00    16.00    16.60
 Chiron......  120.40   120.40   128.70
 Extrarad....   72.00    72.00    72.50
 Euroriding   39.30    39.30    37.90
 Coastcast...   16.30    16.30    15.80
 Cobra Golf..   37.70    37.70    37.00
 Edal...  101.70   101.70   102.30
 exedra.....   27.00    27.00    27.00
 Cons.Ramrod.    2.36     0.00     2.33
 Cor.Co.Amer.   40.70    40.70    77.10
 Cray Resear.   29.90    29.90    29.30
 CST Entert..    1.02     1.01     0.98
 Datapoint...    2.08     2.08     2.09
 Dell........   65.30    65.30    66.80
