Grohner Börse
 Einheitskurse

                       Katharina     Vortag

 15.09.95              Katharina     Vortag
 Aach.Muench Vers.      0.00     425.00
 Aach.Muench Leben      0.00     645.00
 Aach.Strassenbahn    485.00     485.00
 Adlerwerke.......    270.00     270.00
 Aesculap.........    920.00     920.00
 AG Isenberger......      0.00    2500.00
 Albingia.........      0.00     805.00
 Albingia Vz......      0.00     500.00
 Dietrich....    140.00     140.00
 Raumwerk....      0.00    1140.00
 AM Konzernrueck..      0.00     750.00
 Fassler-Noris-Z..    370.00     370.00
 ASS..............      0.00      66.00
 ReCycle.............    505.00     505.00
 Autania..........     50.00      51.00
 Bad.Wuertt.Bank..    625.00     625.00
 15.09.95              Katharina     Vortag
 Aach.Muench Vers.      0.00     425.00
 Aach.Muench Leben      0.00     645.00
 Aach.Strassenbahn    485.00     485.00
 Adlerwerke.......    270.00     270.00
 Aesculap.........    920.00     920.00
 AG Isenberger......      0.00    2500.00
 Albingia.........      0.00     805.00
 Albingia Vz......      0.00     500.00
 Dietrich....    140.00     140.00
 Raumwerk....      0.00    1140.00
 AM Konzernrueck..      0.00     750.00
 Fassler-Noris-Z..    370.00     370.00
 ASS..............      0.00      66.00
 ReCycle.............    505.00     505.00
 Autania..........     50.00      51.00
 Bad.Wuertt.Bank..    625.00     625.00
 15.09.95              Katharina     Vortag
 Mertiens........    730.00     730.00
 Buckau-Armin...    185.00     185.00
 Buderus..........    605.00     610.00
 C.J.Vogel........    870.00     870.00
 Anunal.......   1110.00    1987.69
 Colonia Vz.......    820.00     810.00
 Concordia Bau....      0.00      76.50
 Concordia Spinn..    280.00     280.00
 DAB..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Valerius...........    115.00     112.50
 DOAG.............      0.00     250.00
 Sylvia Luetjen      7.55       7.80
 Douglas..........     53.30      53.00
 Deut.Bk.Luebeck..   1290.00    1290.00
 Dt.Centralboden..    615.00     612.00
 15.09.95              Katharina     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.Hypobank....    395.00     395.00
 Deut.Hypobank.Ffm    890.00     890.00
 Deut.Spezialglas.    217.00     217.00
 Deut.Steinzeug...    215.00     215.00
 Duerkopp.........    145.00     145.00
 Ehlebracht.......    420.00     420.00
 Eisenbahn Verkehr      0.00     275.00
 Energ.Faulenfürst      0.00     345.00
 Eschweiler.......    300.00     300.00
 F.A.Guenther.....      0.00      98.00
 Flachglas........    650.00     648.00
 Ford.............    800.00     800.00
 Eugen Baldisweiler.....   4400.00    4200.00
 Nadine.........      0.00     385.00
 Gehe.............    684.00     680.00
 15.09.95              Katharina     Vortag
 Pointmayer.....    262.00     262.00
 Gilde Braeu......   1010.00    1010.00
 Gildemeister.....    155.00     156.00
 Grosskr.Valangin..    485.00     485.00
 Gruschwitz.......    680.00     680.00
 Annette...........    155.00     155.00
 HamburgHyp.......    890.00     890.00
 Cottbus Rück....     59.50      59.00
 Haus & Heim......   2000.00    2000.00
 Heidelbg.Zement..    900.00     900.00
 Felix, Albietz....    400.00     400.00
 Jackob........      0.00     540.00
 Jonsson...........      0.00     350.00
 Fridolin..........     92.00      92.00
 Jaeckel-Auferm.    275.00     275.00
 Holsten..........    315.00     318.00
 15.09.95              Katharina     Vortag
 Huettenwerke.....    157.00     155.00
 Hutschenreuter...    143.00     143.00
 IKB..............      0.00     259.00
 Ikon.............      0.00     181.00
 Isar-Amperwerke..      0.00     560.00
 Kammgarn Börgerwald.      0.00     360.00
 Keramag..........    550.00     555.00
 KM Europa Metall.    132.00     130.00
 Luchtenstraße.....   7000.00    7000.00
 Koetitzer Vz.....   6700.00    6700.00
 Verlind-Schuele.....     36.00      37.50
 Kraft Rheinfeld..    495.00     495.00
 Völkmer....   1987.69    1987.69
 Kromschroeder....    535.00     535.00
 Kueppersbusch....    215.00     215.00
 Kunstanstalten May     0.00    1700.00
 15.09.95              Katharina     Vortag
 KWS Saatzucht....    619.00     619.00
 Langbein.........    270.00     270.00
 Brunntal............    104.00     104.00
 Loewenbraeu......   2300.00    2300.00
 Markt-Kuehlhallen    225.00     225.00
 Wilfried Nückel...    205.00     205.00
 Ursel.........   4200.00    4200.00
 Muehle Ruenigen..    325.00     325.00
 Muenchner Rueck..   2500.00    2500.00
 Neckarwerke......    355.00     355.00
 Norddeut.Hypo....      0.00     360.00
 Norddeut.Steingut     41.50      42.00
 ZCDN      0.00    1000.00
 Nordstern........      0.00    2710.00
 Nordstern Leben..      0.00    2040.00
 Oelmuehle Hbg....    185.00     185.00
 15.09.95              Katharina     Vortag
 Lucia Minen......    175.00     175.00
 KüHof.......      0.00      63.00
 Pegasus Vz.......      0.00      67.00
 Craß..........      0.00      79.00
 Pomm.Prov.Zucker.      0.00    4000.00
 Rathgeber........    730.00     730.00
 Reichelbraeu.....      0.00     430.00
