Herzebrocker Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 18.11.95    07:31:09    Kassa   Vortag
 Bachtmann.........    0.00     0.00    19.80
 Belushi's.......    0.00     0.00   101.70
 Akzo........    0.00     0.00   154.00
 Bleses......    0.00     0.00     3.30
 Biosk......    0.00     0.00     6.50
 Am.Drug.....    0.00     0.00     0.93
 Am.Expr.Org.    0.00     0.00    59.20
 Boncuk.......    0.00     0.00    66.60
 Bleicherstraße.....    0.00     0.00     0.55
 baju.......    0.00     0.00    53.00
 BDR.......    0.00     0.00     3.50
 Beauty-Flowers.Gold..    0.00     0.00     0.71
 FVU...    0.00     0.00    15.00
 FameDrang..    0.00     0.00     2.78
 Bio.Technol.    0.00     0.00     4.71
 18.11.95    07:33:07    Kassa   Vortag
 FEIO......    0.00     0.00    85.60
 Frischmarkt......    0.00     0.00    97.60
 Boomtown....    0.00     0.00     9.30
 Brit.China..    0.00     0.00     5.50
 Brit.Petrol.    0.00     0.00    10.60
 Frisierbar....    0.00     0.00    42.40
 Bull........    0.00     0.00     0.00
 Cadence.....    0.00     0.00    51.50
 Fowab.....    0.00     0.00     9.00
 FKF....    0.00     0.00    24.00
 florali....    0.00     0.00    73.70
 Fasel...    0.00     0.00     1.00
 FSEO    0.00     0.00     6.50
 Cellular....    0.00     0.00    25.00
 Farchet    0.00     0.00     0.95
 18.11.95    07:33:18    Kassa   Vortag
 Fritzenschaft Croll....    0.00     0.00     9.00
 FUSJ..    0.00     0.00    86.80
 Florek..    0.00     0.00    17.00
 FCZ......    0.00     0.00   120.70
 FMRO....    0.00     0.00    72.00
 FWTM    0.00     0.00    39.30
 Farbenkrauth...    0.00     0.00    16.60
 Flohr..    0.00     0.00    36.50
 Floristina...    0.00     0.00   102.30
 Flohmatz.....    0.00     0.00    27.50
 Cons.Ramrod.    0.00     0.00     2.11
 Cor.Co.Amer.    0.00     0.00    42.00
 Cray Resear.    0.00     0.00    29.90
 CST Entert..    0.00     0.00     1.01
 Datapoint...    0.00     0.00     2.14
 Dell........    0.00     0.00    69.30
 18.11.05    07:33:29    Kassa   Vortag
 Digital.....    0.00     0.00    78.90
 Duracell....    0.00     0.00    74.80
 Eastm.Latu.    0.00     0.00    89.20
 Turnstraßenlädle...    0.00     0.00    13.30
 Wildegg.......    0.00     0.00     9.10
 EBAV.....    0.00     0.00     0.62
 Eska aktivmed St.....    0.00     0.00     4.69
 Eska aktivmed Vz.....    0.00     0.00     2.90
 Fidelity.Med    0.00     0.00     0.00
 EAJI........    0.00     0.00    40.50
 Fuel Techn..    0.00     0.00     8.84
 AKU-Tech......    0.00     0.00    38.50
 Gen.Mot.Org.    0.00     0.00    62.10
 Gen.Motors..    0.00     0.00    62.50
 Gen.Physics.    0.00     0.00     4.50
 ALN...    0.00     0.00    70.70
 18.11.05    07:33:40    Kassa   Vortag
 Ahat.....    0.00     0.00    87.60
 Achstetter....    0.00     0.00    68.50
 Amaz    0.00     0.00    10.00
 ADFC-RadHaus    0.00     0.00     0.14
 AIS    0.00     0.00    56.00
 Groundwater.    0.00     0.00    20.50
 Apeg.    0.00     0.00    13.10
 Interlübbke    0.00     0.00    38.30
 IDCO......    0.00     0.00    96.50
