Dammerstorfer Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 01.10.96    16:00:04    Kassa   Vortag
 Boarders........  616.00   616.00   616.00
 BJW.........  135.50   134.00   134.50
 Belebe........  150.00   150.00   150.00
 Agiv........   28.00    28.00    29.20
 Behindertenwerkstätte Faser..  243.00   243.00   243.00
 Buhone.....  255.00   255.00   255.00
 BZ Automobile Gen.  133.00   133.00   132.50
 BZ Automobile Hold 2653.00  2630.00  2612.00
 Bockstiegel......  811.00   816.00   819.00
 BauSpezi Inh.....  885.00   885.00   880.00
 BauSpezi Nam.....  930.00   930.00   930.00
 Bershka St.....  730.00   730.00   740.00
 Bershka Vz.....  700.00   700.00   710.00
 Erav...  500.00   500.00   500.00
 EP:Mediacenter.Dammerstorf  407.00   405.50   410.20
 02.10.95    16:01:15    Kassa   Vortag
 Eleganz........  303.50   304.00   305.00
 Extratour....   33.90    33.85    33.72
 Expert Bielinsky.   39.40    39.30    39.20
 Ehehig.......  366.00   366.00   365.50
 Energiedienst..  930.00   930.00   935.00
 Dorst.El.St..   02.69    02.92    12.75
 DugnyEl.Vz..   47.40    47.00    47.70
 Egiki.......  400.00   399.50   399.50
 EICIE....   37.95    37.25    37.40
 EFB St......  760.50   757.00   754.50
 EFB Vz......  530.00   528.00   525.00
 Elektohandel  245.00   246.00   245.00
 Dirisam.   33.90    33.80    38.00
 KHU........  110.00   110.00   110.00
 Kaminland.  324.50   323.00   324.00
 01.10.96    16:01:26    Kassa   Vortag
 Kohlpoth....  515.00   515.00   515.00
 Kocjan.   20.10    20.20    20.10
 RNZ.....  680.00   677.50   676.00
 Rompel.....  450.00   450.00   450.00
 Rumtreiber..   55.50    55.50    55.00
 ReweXL.Etaka...   63.50    62.92    63.10
 Vollard......  110.00   110.00   110.00
 Renneberg.........  260.00   260.00   260.00
 RPMS.  229.00   229.00   230.00
 Balbersdorf.Bank..   38.00    37.75    37.67
 Ragazza.  165.00   166.00   165.00
 Mälzerweg  144.50   144.50   142.00
