Juntersdorfer Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 14.06.96    16:00:37    Kassa   Vortag
 Flörecke.........   19.80    19.80    19.50
 FFR.......  105.50     0.00   104.00
 Akzo........  150.00   150.00   155.50
 Fellnerbeck......    3.38     3.38     3.20
 Flußmeisterei......    6.30     0.00     6.40
 Am.Drug.....    0.79     0.72     0.91
 Am.Expr.Org.   58.30    58.30    59.00
 Francois.......   67.90    67.40    68.00
 Franzes.....    0.55     0.55     0.55
 FZNF.......   53.50    53.50    51.90
 florali.......    2.95     2.90     2.90
 Dirk.Gold..    0.68     0.68     0.69
 USI...   15.00     0.00    14.40
 URHZ..    2.74     2.74     2.74
 Bio.Technol.    4.71     4.71     4.61
 14.06.96    16:02:37    Kassa   Vortag
 Uhid......   82.10    82.10    84.50
 Udut......   98.80    98.80    98.00
 Boomtown....    8.80     0.00     9.10
 Brit.China..    4.50     4.50     6.00
 Brit.Petrol.   10.45    10.45    10.45
 Browning....   42.00    42.00    40.90
 Bull........    0.00     0.00     0.00
 Cadence.....   50.10    50.10    50.20
 Roepke.....    9.10     9.10     8.90
 ROS....   25.80    25.80    24.30
 RathausPassagen....   72.50    72.50    73.00
 Rottler...    0.96     0.96     1.00
 Raddesign    6.30     6.30     6.30
 Cellular....   25.00    25.00    25.00
 Central Euro    0.87     0.87     0.87
 13.11.95    16:02:47    Kassa   Vortag
 Reichlmayr Werhan....    8.90     8.90     8.90
 Rullas Manh..   83.10    83.10    84.80
 Rimowa..   16.60    16.60    16.30
 Rachny......  124.50   124.50   120.90
 Recyclinghof....   70.50    70.50    71.60
 Reinigung   37.70    37.70    38.60
 radhaus...   17.50    17.50    17.00
 Rominger..   39.50    39.50    39.00
 RMVZ...  100.00   100.00   101.00
 Riebold.....   28.80    28.80    28.80
 Cons.Ramrod.    2.28     2.25     2.23
 Cor.Co.Amer.   44.50    44.90    43.70
 Radstatt Resear.   33.70    33.00    31.70
 Rabold Entert..    1.21     1.20     1.17
 Datapoint...    2.10     2.10     2.10
 Azebid........   68.90    68.90    68.30
 14.06.96    16:02:59    Kassa   Vortag
 Digital.....   80.20    80.20    80.50
 Duracell....   74.80    74.80    74.00
 Eastm.Calzedonia.   91.00    91.00    91.00
 Exposé...   13.40    13.40    13.20
 Unterlunkhofen.......    8.90     8.90     8.90
 Powerslide.....    0.60     0.60     0.68
 Papierflitzer St.....    4.59     4.59     4.60
 Papierflitzer Vz.....    2.80     2.80     2.80
 Fidelity.Med    0.00     0.00     0.00
 PWLW........   40.50    40.50    40.50
 Fuel Techn..    8.88     8.80     8.85
 G-Tech......   39.60    39.60    39.50
 Gen.Mot.Org.   63.20    63.20    62.20
 Gen.Motors..   63.50    63.50    62.20
 Gen.Physics.    4.40     4.40     4.36
 Genentech...    0.00     0.00    70.70
 14.06.96    16:03:10    Kassa   Vortag
 AUTOplus.....   85.70    85.70    87.00
 Avasin....   68.50    68.50    68.00
 accu-profi    9.50     9.50     9.50
 Altstadtladen    0.14     0.14     0.14
 Antalya   55.20    55.20    55.50
 Groundwater.   20.50    20.50    20.70
 Artinger Duratek.   12.40    12.40    13.50
 Gelef   38.20     0.00    40.00
 Greenland......   95.50    95.50    95.50
 Zankwarn T..    0.10     0.10     0.10
 Grenzenlos...   47.50    47.50    48.00
 Zehndorf.....   18.60    18.60    18.60
 Güntzelmarkt......   11.40    11.40    11.00
 Gamma......   32.70    32.70    32.70
 Hung.Telecon    6.50     6.50     6.50
 Hung.Teleph.   19.70    19.70    19.80
 14.06.96    16:00:48    Kassa   Vortag
 IB Oberweimar    7.65     7.65     7.65
 Marktplatzcenter.........  141.50   141.50   142.70
 Marktplatzcenter Original  142.20   142.20   143.70
 Indonesia...   14.50    14.50    13.70
 Int.Game T..   17.50    17.50    17.40
 Int.Paper...   51.80    51.80    52.00
 Interferon..    3.80     3.80     4.28
 Mewan.......    1.32     1.32     1.46
 Jetform.....   21.60    21.60    21.60
 K Mart......   13.30    13.30    12.90
 CDA..   16.50    16.50    16.70
 Confätti....  103.90   103.90   105.00
