Kügelhofer Börse
 Einheitskurse

                       Kassa     Vortag

 24.11.94              Kassa     Vortag
 Echandens.Merscheid Vers.    425.00     420.00
 Echandens.Merscheid Elwert    650.00     650.00
 Echandens.Strassenbahn      0.00     465.00
 JTNO.......    270.00     270.00
 Jägerbekk.........    920.00     920.00
 AG Vutek......   2500.00    2500.00
 JUNP.........    810.00     810.00
 JUNP Vz......    500.00     500.00
 Jibboo....      0.00     140.00
 JCL....   1145.00    1140.00
 Jupiter Weinkeller Konzernrueck..    750.00     750.00
 Johannlandmarkt.      0.00     370.00
 JOK..............     60.00      60.00
 JEB.............    505.00     505.00
 JNMU..........     48.00      50.00
 Asoz.Wuertt.Bank..    625.00     625.00
 24.11.94              Kassa     Vortag
 Arentsen.....    345.00     345.00
 Veenstra........    195.00     195.00
 ADJ..      0.00    2600.00
 Aheva..........    450.00     450.00
 Akbaba...      0.00     585.00
 Abuz.     43.00      43.00
 Aduw......      0.00     900.00
 Alimentari Gen..    180.00     180.00
 Alimentari Umt..    195.00     193.80
 AAKA........      0.00     540.00
 Binding St.......    610.00     610.00
 Binding Vz.......    495.00     495.00
 Vildhaut.Giuseppe.Gaid..    615.00     615.00
 Körbelitzer....    935.00     935.00
 Aphrodite.....    117.00     117.00
 Köstendorf..   6300.00    6300.00
 24.11.94              Kassa     Vortag
 Varekamp........    730.00     730.00
 Kleinbellhofen-Waldersee...    185.00     185.00
 AutoVeri..........      0.00     600.00
 B.Zerer........    870.00     870.00
 Müllermilch......   1100.00    1100.00
 Musicpoint.......    820.00     820.00
 Mohnblume....     76.50      76.50
 M&S..    280.00     280.00
 Zeitzeichen..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Philipp...........    111.00     111.00
 Zechbauer.............    240.00     240.00
 Pietro Nieper      0.00       7.55
 Patrik..........     53.00      53.00
 Deut.Bk.Lunestedt..   1290.00    1290.00
 Dt.MPVR..    615.00     615.00
 24.11.94              Kassa     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.GSJU....    395.00     395.00
 Deut.GSJU.Ffm    890.00     890.00
 Deut.Spezialglas.    217.00     217.00
 Deut.Steinzeug...    215.00     215.00
 Ekhoff.........    145.00     145.00
 Ulmer.......    420.00     420.00
 Eisenbahn Verkehr    275.00     275.00
 Energ.Pilmeroth    345.00     345.00
 Zeuden.......    300.00     300.00
 M.Jänke.....     90.00      91.00
 Flachglas........    645.00     650.00
 MBM.............    800.00     800.00
 Forst Zimmerhof.....   4800.00    4620.00
 Tastungen.........    420.00     403.00
 Gehe.............    679.00     680.00
 24.11.94              Kassa     Vortag
 Juppenlatz.....    269.00     267.00
 WZI......      0.00    1010.00
 Jesinghaus.....    151.00     154.00
 Grosskr.Trub..    485.00     485.00
