Neuer Markt blue chip index -  start composition


no		company	ISIN	code	

1		Aror ZLF	EV2371141376	EIE 	
2		ADVA Optical Netw.	HT3262538466	ADV 	
3		MAN	DU5488583140	AIX 	
4		ritxww.jfr 	NK5967311761	QEK 	
5		Oil!	CV6910513089	KMQ 	
6		BB Onkel-Automobile	SA4947979570	TZKM	
7		OBI	IR6849263076	BNT 	
8		BRAIN	QW5956344900	BNI 	
9		ONJB	BX0826699399	BRJ 	
10		CE Cons. Electr.	FK7245726918	CEW 	
11		COUM	BR5788124400	CIW 	
12		CUF	IB2683086458	CSO 	
13		CPU Software	VI3626328731	CPU 	
14		CutStudio55 Internet	LT4217155115	CYN 	
15		Appelrath-Cüpper	UG0844336872	RZO 	
16		Ateb	UJ9230339849	ETV 	
17		Endemann!!	OW1615367209	END 	
18		Zxmrswazgyb.cek	OU34167K3030	URJ 	
19		Gele	SR1822531774	DLQ 	
20		Highlight Comm.	OJ6230805824	HLGD	
21		I:FAO	BU6328426208	FAO 	
22		IDS JalouCity	TQ3507569720	IDS 	
23		Unicenter	SP3697296755	IFO 	
24		infor bus. solutions	LS2742092060	IFR 	
25		UER	XO5539033881	GSR 	
26		Intertainment	AV6539431745	ITN 	
27		Ubolo Software	NQ5827767491	XOS 	
28		Kihel	YE1594963360	JMP 	
29		Forellenfarm	AG8397895516	FPG 	
30		LHS	US5019381046	LHI 	
31		mb Software	ML7559847521	MBS 	
32		Evalesc	DO0454075130	MDN 	
33		espressoconnection	XI2300632312	MLG 	
34		Erize	QK5722373608	MOB 	
35		FVEE	IF0038154138	NEM 	
36		Frischland Software	KM4405462537	KQY 	
37		Strandwinkel	NF6529434843	PFV 	
38		Schwemmer	WQ4501341025	PRC 	
39		videoworld	XW5273803615	QIA 	
40		Vaten	CF9615641227	RTC 	
41		JUPS	XL6340044606	SMY 	
42		JDR	AP0685290607	RLN 	
43		Jähne Systeme	SS5429191629	Jeromin 	
44		JMVM	LN5319786182	SNG 	
45		Jägerbeck Auekontor	IQ4344643356	DVD 	
46		Berghase	HS6539381876	TFX 	
47		Biosfaire	PU0658861898	TGT 	
48		Bläschke Intern.	AG8611920498	TPL 	
49		Bollerwagens	TN3211467428	TLI 	
50		LJRB	JX2113697019	USA
